company_name,stock_symbol,tagline,annual_revenue,employee_count,mission_statement,headquarters_location,city,known_point_of_contact,key_contacts,predicted_shared_values,early_stage_focus,project_ideation,existing_coe_projects,key_focus_areas,assumptions,dependencies,past_higher_ed_giving,annual_revenue_log,market_valuation_log,profit_margins,market_share,industry_ranking,distance,created_at
Freedom Holding Corp.,FHC,Empowering Financial Freedom,8.5,1500,To provide innovative financial solutions for our clients' freedom and success.,New York,New York,John Smith,John Smith (CEO); Emily Johnson (CFO),Integrity; Innovation; Customer Success,Fintech Solutions; Digital Transformation,Exploring AI-driven investment strategies,Blockchain Integration; Robo-Advisory Services,Wealth Management; Investment Banking; Asset Management,Stable economic conditions; Growing client base,Market trends; Regulatory environment,Scholarship Programs; Research Grants,0.9294,1.1761,12.0,8.0,3,5.5,2022-01-20T08:30:00Z
Paylocity Holding Corp,PCTY,Elevating Payroll and HR,3500000000,3000,Empower organizations to elevate the employee experience through innovative payroll and HR solutions.,Schaumburg,Schaumburg,Steve Beauchamp,Steve Beauchamp (CEO); Michael Haske (President & COO),Innovation; Employee Empowerment; Customer Success,Product Development; Market Research; Customer Acquisition,Exploring AI-driven HR analytics platform,Digital Transformation Initiative; Employee Engagement Program,HR Technology; Payroll Solutions; Employee Benefits,Stable economic conditions; Growing demand for HR tech solutions,Technological advancements; Regulatory compliance,Scholarship Programs; Research Grants,9.5441,10.1761,12.0,8.5,3,25.0,2022-10-31T08:00:00Z
Ovintiv Inc.,OVV,Energy for a better world,8.5,3000,To responsibly develop energy resources for a sustainable future,Denver,Denver,John Smith,John Smith (CEO); Emily Johnson (CFO),Innovation; Sustainability; Integrity,Renewable Energy; Carbon Capture,Exploring new technologies for clean energy production,Solar Energy Expansion; Green Building Initiatives,Energy Efficiency; Environmental Stewardship; Community Engagement,Stable energy market; Government support for renewable energy,Technological advancements; Access to capital,Scholarship programs; Research grants,0.9294,1.6989,12.0,8.0,3,150.5,2022-01-20T08:30:00Z
Lkq Corp,LKQ,Your Partner in Automotive Solutions,11000000000,51000,"To provide high-quality, low-cost automotive parts and solutions to customers worldwide.",Chicago,Chicago,John Smith,John Smith (CEO); Emily Johnson (CFO),Quality; Innovation; Customer Satisfaction,Market Research; Product Development,Exploring new markets for expansion,Supply Chain Optimization; Customer Relationship Management,Automotive Parts; Aftermarket Solutions; Recycling,Stable economic conditions; Consistent demand for automotive parts,Global supply chain; Technological advancements,Scholarship Programs; Research Grants,10.04,11.2,0.08,0.12,3,5.5,2023-10-26T08:30:00Z
Cubesmart,CUBE,Storage that fits your life,1000000000,2000,To simplify the lives of our customers by providing convenient and secure self-storage solutions.,Malvern,Malvern,Joe Margolis,Joe Margolis (CEO); Tim Martin (CFO),Customer-centricity; Innovation; Sustainability,Market Research; Product Development,Exploring new digital marketing strategies,Customer Loyalty Program Enhancement; Supply Chain Optimization,Customer Experience; Operational Efficiency; Sustainability,Stable economic conditions; Competitive pricing strategy,Technological advancements; Regulatory compliance,Local Community College Scholarship Fund; STEM Education Grants,9.0,10.5,12.5,8.0,3,20.5,2023-10-31T08:00:00Z
Carmax Inc,KMX,The way car buying should be,5.37,27000,To revolutionize the car buying experience by providing transparency and exceptional customer service.,Richmond,Richmond,Bill Nash,Bill Nash (CEO); Tom Reedy (CFO),Transparency; Customer Service; Innovation,Digital Transformation; Customer Experience Enhancement,Implementing AI-driven car recommendation system,Data Analytics for Inventory Management; Customer Segmentation Analysis,Customer Satisfaction; Operational Efficiency; Market Expansion,Stable economic conditions; Consistent consumer demand,Technological advancements; Competitive landscape,Scholarship programs; Research grants,0.73,1.38,4.5,12.3,4,0.0,2022-10-31T08:00:00Z
Western Alliance Bancorporation,WAL,Your Ally for Financial Success,3.5,10000,Empowering financial growth and success through innovative solutions.,Phoenix,Phoenix,Jane Smith,Jane Smith (CEO); John Doe (CFO),Innovation; Customer-Centricity; Integrity,Digital Transformation; Customer Experience Enhancement,Exploring AI-driven solutions for personalized banking experiences.,Blockchain Integration; Data Analytics Optimization,Technology Integration; Risk Management; Market Expansion,Stable economic conditions; Regulatory compliance,Technological infrastructure upgrades; Market trends,Scholarship Programs; Research Grants,0.5441,1.0414,0.08,2.5,4,5.5,2023-10-26T08:30:00Z
Albemarle Corp,ALB,Innovating for a sustainable future,3.5,5500,To create innovative solutions that advance the world towards a sustainable future.,Charlotte,Charlotte,John Smith,John Smith (CEO); Emily Johnson (CFO),Sustainability; Innovation; Collaboration,Renewable Energy; Green Chemistry,Exploring new technologies for carbon capture,Battery Recycling Initiative; Water Conservation Program,Energy Storage; Environmental Solutions; Specialty Chemicals,Stable market demand for lithium products; Continued focus on sustainability by consumers,Government regulations on environmental standards; Global economic conditions,University of North Carolina; Stanford University,0.5441,1.0414,0.08,5.2,3,10.5,2023-10-26T08:30:45Z
Cae Inc,CAE,,10000000000,10000,To provide innovative training solutions to make the world a safer place.,Montreal,Montreal,John Smith,John Smith (CEO); Jane Doe (CFO),Safety; Innovation; Excellence,Virtual Reality Training; Simulation Technology,Developing cutting-edge simulation software for military training,Flight Simulation Training; Medical Simulation Training,Defense; Aviation; Healthcare,Stable global demand for training solutions; Continuous technological advancements,Government contracts; Industry partnerships,Scholarship programs; Research grants,10.0,11.0,0.15,0.05,3,0.0,2023-10-26T08:30:00Z
"Advanced Drainage Systems, Inc.",WMS,The Green Building Solution,1200000000,4600,To provide innovative water management solutions for a sustainable future.,Hilliard,Hilliard,Joe Chlapaty,Joe Chlapaty (Chairman and CEO); Scott Barbour (President and COO),Sustainability; Innovation; Quality,Research & Development; Product Testing,Developing eco-friendly drainage solutions for urban areas,Stormwater Management; Green Infrastructure,Water Management; Sustainability Practices; Infrastructure Development,Growing demand for eco-friendly products; Regulatory support for sustainable practices,Availability of raw materials; Market demand for green solutions,Water Management Research Grant; Sustainability Scholarship Fund,9.0792,10.0414,0.12,0.08,3,0.0,2022-01-31T08:00:00Z
Generac Holdings Inc.,GNRC,Powering Your Life,2.5,9000,To provide reliable power solutions for a sustainable future.,Waukesha,Waukesha,Aaron Jagdfeld,Aaron Jagdfeld (CEO); York Ragen (CFO),Innovation; Sustainability; Customer-Centricity,Renewable Energy; Energy Storage,Developing smart grid solutions for efficient energy distribution.,Solar Power Integration; Battery Storage Solutions,Resilient Power Systems; Energy Management Solutions,Growing demand for backup power solutions; Increasing focus on renewable energy,Regulatory approvals for new products; Market acceptance of green technologies,STEM Education Programs; Research Grants,9.3979,10.1761,12.0,8.0,3,0.0,2022-01-28T08:00:00Z
