company_name,stock_symbol,tagline,annual_revenue,employee_count,mission_statement,headquarters_location,city,known_point_of_contact,key_contacts,predicted_shared_values,early_stage_focus,project_ideation,existing_coe_projects,key_focus_areas,assumptions,dependencies,past_higher_ed_giving,annual_revenue_log,market_valuation_log,profit_margins,market_share,industry_ranking,distance,created_at
Algonquin Power & Utilities Corp.,AQN,Powering a sustainable future,10000000000,2500,"To provide reliable, affordable, and sustainable utility services to communities worldwide.",Oakville,Oakville,John Smith,John Smith (CEO); Emily Johnson (CFO),Sustainability; Innovation; Community Engagement,Renewable Energy; Smart Grid Technology,Exploring new ways to increase renewable energy production,Solar Farm Expansion; Energy Efficiency Program,Renewable Energy; Energy Efficiency; Community Outreach,Stable regulatory environment; Increasing demand for clean energy,Government approvals; Access to capital,Scholarship programs; Research grants,10.0,11.5,0.08,0.05,3,20.5,2022-10-31T08:00:00Z
Liberty Broadband Corp,LBRDA,"Connecting People, Empowering Lives",9.2,5000,To provide high-quality broadband services for a connected world.,Denver,Denver,John Smith,John Smith (CEO); Emily Johnson (CFO),Innovation; Customer Satisfaction; Community Engagement,5G Technology; Smart City Solutions,Exploring new partnerships for expanding broadband coverage in rural areas.,Fiber Optic Network Expansion; Digital Inclusion Initiatives,Technology Infrastructure; Customer Experience Enhancement,Increasing demand for high-speed internet services; Stable regulatory environment,Government approvals for infrastructure projects; Market demand for new technologies,Scholarship Programs; Research Grants,9.2,10.5,12.0,8.5,3,150.5,2022-10-31T08:00:00Z
Petrochina Co Ltd,PTR,Leading the way in energy solutions,278.5,500000,To provide sustainable energy solutions for a better future,Beijing,Beijing,Zhang Jianhua,Zhang Jianhua (CEO); Wang Yilin (Chairman),Innovation; Sustainability; Global Impact,Renewable Energy; Technological Advancements,Exploring new energy sources for a greener planet,Carbon Capture Technology; Smart Grid Solutions,Oil & Gas Exploration; Renewable Energy Development,Stable global energy demand; Government regulations favoring energy sector,Global oil prices; Technological advancements,Scholarships for Energy Studies; Research Grants for Sustainability Projects,2.444,2.698,0.08,12.5,3,0.0,2023-10-26T08:30:00Z
Southern Co,SO,Powering the Future,25000000000,32000,"To provide clean, safe, reliable, and affordable energy solutions for a sustainable future.",Atlanta,Atlanta,John Smith,John Smith (CEO); Emily Johnson (CFO),Sustainability; Innovation; Customer Satisfaction,Renewable Energy; Smart Grid Technology,Exploring new solar energy projects in rural communities.,Energy Efficiency Program; Community Outreach Initiatives,Renewable Energy; Grid Modernization; Customer Engagement,Stable regulatory environment; Increasing demand for clean energy solutions,Government policies; Technological advancements,University of Georgia; Georgia Tech,10.3979,11.699,8.0,15.0,3,0.0,2023-10-26T08:30:00Z
Microchip Technology Inc,MCHP,Empowering Innovation,6.2,18800,To provide innovative and reliable semiconductor solutions for a connected world.,Chandler,Chandler,Steve Sanghi,Steve Sanghi (CEO); Ganesh Moorthy (President),Innovation; Reliability; Customer Satisfaction,IoT Solutions; Analog and Interface Products,Developing cutting-edge semiconductor solutions for emerging technologies.,Smart Home Automation; Industrial Automation,Embedded Control; Wireless Connectivity; Security Solutions,Stable semiconductor market growth; Continued demand for IoT devices,Global supply chain logistics; Technological advancements,STEM Education Programs; Research Grants,0.7924,1.1761,8.5,3.2,5,0.0,2023-10-26T08:30:00Z
Global Partners Lp,GLP,Fueling Growth Worldwide,9.2,5000,To provide reliable energy solutions for global development and progress.,Boston,Boston,John Smith,John Smith (CEO); Emily Johnson (CFO),Sustainability; Innovation; Global Impact,Renewable Energy; Supply Chain Optimization,Exploring new technologies for cleaner fuel production.,Carbon Emissions Reduction; Community Engagement Programs,Energy Distribution; Environmental Sustainability; Market Expansion,Stable oil prices; Growing demand for renewable energy,Government regulations; Global economic conditions,Scholarship programs; Research grants,9.2,10.5,0.08,12.5,3,0.0,2023-10-26T08:30:15Z
Altagas Ltd.,ALA,Energy for the Future,8.2,2000,Providing sustainable energy solutions for a better tomorrow.,Calgary,Calgary,John Smith,John Smith (CEO); Emily Johnson (CFO),Sustainability; Innovation; Community Engagement,Renewable Energy; Energy Efficiency,Exploring new ways to harness solar energy for power generation.,Wind Farm Expansion; Smart Grid Implementation,Renewable Energy; Natural Gas Distribution; Energy Storage,Stable energy market conditions; Government support for clean energy initiatives,Regulatory approvals; Access to capital for infrastructure investments,University of Calgary; Alberta Institute of Technology,0.9138,1.2041,8.0,12.0,3,0.0,2023-10-26T08:30:45Z
Granite Point Mortgage Trust Inc.,GPMT,Building Trust in Real Estate Financing,250000000.0,50,To provide innovative real estate financing solutions with integrity and transparency.,New York,New York,John Smith,John Smith (CEO); Emily Johnson (CFO),Integrity; Transparency; Innovation,Market Research; Product Development,Exploring new real estate investment opportunities,Digital Transformation; Risk Management Enhancement,Real Estate Financing; Investment Strategies,Stable real estate market; Regulatory compliance,Market conditions; Interest rates,Scholarship programs; Research grants,8.3979,9.0,12.0,5.0,3,10.5,2023-10-26T08:30:00Z
"Lemonade, Inc.",LMND,Refreshingly Different Insurance,8.5,500,To transform the insurance industry with technology and transparency.,New York,New York,Daniel Schreiber,Daniel Schreiber (CEO); Shai Wininger (COO),Innovation; Transparency; Customer-Centricity,Digital Transformation; Disruptive Technology,Exploring AI-driven claims processing for faster settlements.,Blockchain Integration; Data Analytics Platform,Insurtech; Customer Experience Enhancement,Increasing demand for online insurance services,Regulatory Approval; Technology Partnerships,Scholarship Programs; Research Grants,0.9294,1.1761,8.0,2.5,4,0.0,2023-10-26T08:30:00Z
"National Healthcare Properties, Inc.",NHP,Providing quality healthcare properties nationwide,8.5,1000,To provide top-notch healthcare facilities for communities across the country,Chicago,Chicago,John Smith,John Smith (CEO); Emily Johnson (CFO),Quality; Community; Innovation,Research; Development; Expansion,Exploring new healthcare property models,Patient Care Enhancement; Facility Modernization,Healthcare Real Estate; Community Impact; Innovation,Stable healthcare market; Growing demand for quality facilities,Regulatory approvals; Funding sources,Medical Research Grants; Healthcare Scholarships,0.9294,1.1761,12.0,5.3,4,10.5,2023-10-31T08:00:00Z
Gigcapital7 Corp.,GIGC,Empowering Growth through Strategic Investments,8.5,150,To drive innovation and growth through strategic investments in promising ventures.,Palo Alto,Palo Alto,John Smith,John Smith (CEO); Emily Johnson (CFO),Innovation; Collaboration; Excellence,Technology Startups; Biotech Ventures,Fostering disruptive ideas with high growth potential.,AI Integration Platform; Blockchain Solutions,Tech Innovation; Healthcare Technologies,Market Stability; Access to Skilled Talent,Regulatory Approvals; Market Trends,STEM Scholarships; Research Grants,0.9294,1.1761,12.0,5.3,8,2.5,2023-10-31T08:00:00Z
Oxford Lane Capital Corp.,UNKNOWN,UNKNOWN,8.5,50,UNKNOWN,Unknown,Unknown,Unknown,Unknown (Unknown),,,Unknown,,,,,,0.9294,0.0,0.0,0.0,0,0.0,2023-10-26T08:45:00Z
Noble Corp Plc,NBL,Empowering Innovation,9.2,15000,To drive innovation and empower businesses for a sustainable future.,London,London,John Smith,John Smith (CEO); Emily Johnson (CFO),Innovation; Sustainability; Excellence,AI Integration; Blockchain Solutions,Exploring new technologies for enhanced efficiency.,Smart Automation; Data Analytics,Technology; Sustainability; Innovation,Market stability; Technological advancements,Regulatory approvals; Market trends,STEM Scholarships; Research Grants,0.9638,1.2041,8.5,12.3,4,0.0,2023-10-26T08:30:15Z
Brookfield Property Partners L.P.,BPY,Leading global real estate company,15000000000,20000,"To be the leading owner, operator, and investor in best-in-class real estate around the globe.",Toronto,Toronto,Brian Kingston,Brian Kingston (CEO); Mark Carney (Chairman),Sustainability; Innovation; Community Engagement,Technology Integration; Market Expansion,Exploring new mixed-use development opportunities in urban centers.,Sustainable Building Initiatives; Community Development Programs,Commercial Real Estate; Residential Development; Infrastructure Investments,Stable economic conditions; Favorable regulatory environment,Global economic trends; Interest rates,Scholarship Programs; Research Grants,10.1761,10.699,12.0,5.0,3,0.0,2022-01-31T08:00:00Z
Gladstone Land Corp,UNKNOWN,UNKNOWN,8.5,50,UNKNOWN,Unknown,Unknown,Unknown,Unknown (Unknown),,,Unknown,,,,,,0.9294,0.0,0.0,0.0,0,0.0,2023-10-26T08:00:00Z
Londax Corp.,LDX,Innovating the Future,8.5,1000,To revolutionize industries through cutting-edge technology solutions.,Silicon Valley,San Francisco,Alice Johnson,Alice Johnson (CEO); David Smith (CTO),Innovation; Excellence; Sustainability,AI; Blockchain; IoT,Empowering businesses through digital transformation.,Smart Cities Initiative; Blockchain Integration Platform,Fintech; HealthTech; Smart Manufacturing,Stable economic conditions; Growing demand for tech solutions,Access to skilled workforce; Technological advancements,STEM Scholarships; Research Grants,0.9294,1.301,12.0,8.0,3,5.5,2023-10-20T08:30:00Z
