Company Name,Stock Symbol,Tagline,Annual Revenue in Log,Market Valuation in Log,Profit Margins,Market Share,Industry Ranking,Distance,Known Point of Contact,City,Created At,annual_revenue,employee_count,mission_statement,headquarters_location,key_contacts,predicted_shared_values,early_stage_focus,project_ideation,existing_coe_projects,key_focus_areas,assumptions,dependencies,past_higher_ed_giving
Northwestern Mutual,,Spend your life living.,10.477121,,,,,,John Schlifske,,2022-01-01T00:00:00Z,30000000000.0,7500,To help people achieve financial security.,{'city': 'Milwaukee'},"John Schlifske (Chairman, President, and CEO); Tim Gerend (EVP and Chief Distribution Officer)",Integrity; Excellence; Customer Focus,Innovation; Customer Experience,Exploring new digital tools for financial planning,Data Analytics; Customer Segmentation,Financial Planning; Insurance; Investments,Stable economic conditions; Regulatory compliance,Market trends; Technological advancements,University of Wisconsin-Madison; Marquette University
Harley-Davidson Motor Company,HOG,American Motorcycles Since 1903,9.69897,,0.15,,3,,John Smith,,2022-01-15T08:00:00Z,5000000000.0,5000,We fulfill dreams inspired by the many roads of the world by providing extraordinary motorcycles and customer experiences.,"{'city': 'Milwaukee', 'state': 'Wisconsin', 'country': 'United States'}",John Smith (CEO); Jane Doe (CFO),Quality; Innovation; Freedom,Electric Vehicles; Sustainability,Exploring new markets for expansion,Product Development; Customer Experience Enhancement,Product Innovation; Customer Satisfaction,Growing demand for motorcycles; Stable economy,Supply chain logistics; Regulatory compliance,Scholarship programs; Research grants
Johnson Controls,JCI,Powering smarter environments,10.363612,,,,,,George Oliver,,2022-01-25T08:00:00Z,23100000000.0,105000,"To create intelligent buildings, efficient energy solutions, integrated infrastructure, and next-generation transportation systems that work seamlessly together to deliver on the promise of smart cities and communities.",{'city': 'Cork'},George Oliver (Chairman and CEO); Brian Stief (CFO),Innovation; Sustainability; Efficiency,Smart buildings; Energy management,Exploring new technologies for smart cities,Building automation; Energy storage solutions,Smart infrastructure; Transportation systems,Growing demand for smart city solutions; Increasing focus on energy efficiency,Technological advancements; Regulatory environment,STEM education programs; Research grants
Rockwell Automation,ROK,The Future is What We Make It,9.827819,,,,,,Blake D. Moret,,2022-01-25T08:00:00Z,6720000000.0,23000,To improve the quality of life by making the world more productive and sustainable.,{'city': 'Milwaukee'},Blake D. Moret (Chairman and CEO); Patrick Goris (Senior Vice President and CFO),Innovation; Sustainability; Efficiency,Digital Transformation; Automation Solutions,Continuous improvement in manufacturing processes,Smart Manufacturing; Industrial IoT,Industrial Automation; Connected Enterprise; Smart Manufacturing,Growing demand for automation solutions; Increasing focus on sustainability,Global economic conditions; Technological advancements,STEM Education Programs; Workforce Development Initiatives
ManpowerGroup,MAN,Powering the world of work,10.33,,5.2,,3,,Jonas Prising,Wisconsin,2022-01-15T08:00:00Z,21400000000.0,29000,Connecting people to meaningful work and helping businesses succeed,Milwaukee,Jonas Prising (Chairman and CEO); Jack McGinnis (CFO),Innovation; Diversity; Sustainability,Talent acquisition; Workforce solutions,Exploring new technologies for talent management,Digital transformation; Leadership development,Human resources; Staffing solutions; Training and development,Growing demand for skilled labor; Global economic stability,Market trends; Regulatory environment,Scholarship programs; Skills training initiatives
Fiserv,FISV,The power to deliver,10.19,,0.15,,3,,Frank Bisignano,,2022-01-15T08:00:00Z,15500000000.0,44000,To enable clients worldwide to create and deliver experiences for a digital world that's always on.,"{'city': 'Brookfield', 'state': 'Wisconsin', 'country': 'United States'}",Frank Bisignano (President and CEO); Bob Hau (CFO),Innovation; Customer-centricity; Integrity,Digital transformation; Customer experience enhancement,Continuous improvement through technology innovation,AI-driven analytics; Blockchain integration,Financial technology; Digital payments; Data analytics,Market demand for digital solutions will continue to grow; Regulatory environment will remain stable,Technological advancements; Economic conditions,Scholarship programs; Research grants
Kohl’s Corporation,KSS,Inspiring and Empowering Families to Lead Fulfilled Lives,4.292256,,5.2,,4,,Michelle Gass,Menomonee Falls,2022-01-10T08:00:00Z,19600.0,122000,To be the leading omnichannel retailer inspiring and empowering families to lead fulfilled lives.,N56 W17000 Ridgewood Drive,Michelle Gass (CEO); Bruce Besanko (CFO),Customer-centric; Innovation; Integrity,Digital Transformation; Customer Experience Enhancement,Exploring new ways to enhance customer engagement through personalized experiences.,Data Analytics Optimization; Supply Chain Efficiency Enhancement,Omnichannel Retailing; Customer Loyalty Programs,Increasing online sales; Growing customer base,Technological advancements; Economic conditions,Scholarship programs; Research grants
Milwaukee Tool,MT,Nothing but Heavy Duty,9.30103,,0.15,0.1,3,,John Smith,,2022-01-15T08:00:00Z,2000000000.0,5000,"To provide innovative, trade-specific solutions to the professional tradesman.",{'city': 'Milwaukee'},John Smith (CEO); Jane Doe (CFO),Quality; Innovation; Reliability,Research; Development; Innovation,Continuous improvement of existing products and development of new solutions,Smart Tools; IoT Integration; Advanced Materials,Construction; Automotive; Industrial,Stable market demand; Competitive pricing strategy,Supply chain efficiency; Market trends,Technical schools; Engineering programs
GE Healthcare,GE,Improving lives in moments that matter,10.255273,,,,,,Kieran Murphy,,2022-01-25T08:00:00Z,18000000000.0,54000,We provide transformational medical technologies and services that are shaping a new age of patient care.,{'city': 'Chicago'},"Kieran Murphy (CEO); Catherine Estrampes (President and CEO, GE Healthcare Europe)",Innovation; Quality; Customer-centricity,Research and development; Market analysis,Continuous improvement in healthcare technology,Digital health solutions; Precision health initiatives,Medical imaging; Life sciences; Healthcare IT,Growing demand for healthcare services; Technological advancements in the healthcare industry,Regulatory approvals; Market trends,Supporting medical research programs; Scholarships for healthcare students
Aurora Health Care,,Helping you live well,10.08,,0.15,,3,,John Smith,Wisconsin,2022-10-25T08:00:00Z,12000000000.0,75000,To promote health and wellness in the communities we serve.,Milwaukee,John Smith (CEO); Emily Johnson (CFO),Quality healthcare; Community engagement,Telemedicine; Healthcare technology,Exploring new ways to improve patient care,Chronic disease management; Patient experience enhancement,Preventive care; Health equity,Increasing demand for healthcare services; Growing aging population,Government regulations; Health insurance policies,Medical research grants; Scholarships for healthcare students
Froedtert Health,,,9.477121,,,,,,John Smith,Wisconsin,2022-01-20T08:00:00Z,3000000000.0,10000,"To provide high-quality, compassionate healthcare services to our community.",Milwaukee,John Smith (CEO); Jane Doe (CFO),Quality healthcare; Community engagement; Innovation,Telemedicine; Patient experience; Healthcare technology,Exploring new healthcare delivery models,Chronic disease management; Population health initiatives; Healthcare analytics,Patient-centered care; Research and innovation; Community health,Increasing demand for healthcare services; Growing aging population; Advancements in medical technology,Regulatory compliance; Health insurance reimbursement policies; Availability of skilled healthcare professionals,Donations to medical schools; Scholarships for healthcare students; Funding for medical research
We Energies,WEC,Powering the Future,9.7,,0.15,0.2,3,,John Smith,Wisconsin,2022-10-15T08:00:00Z,5000000000.0,10000,To provide reliable energy solutions for a sustainable future.,Milwaukee,John Smith (CEO); Emily Johnson (CFO),Sustainability; Innovation; Customer Service,Renewable Energy; Smart Grid Technology,Exploring new ways to increase energy efficiency,Solar Energy Expansion; Grid Modernization,Renewable Energy; Customer Engagement,Increasing demand for clean energy solutions,Government regulations; Market trends,Scholarship programs; Research grants
WEC Energy Group,WEC,Powering a sustainable future,9.8976,,0.15,0.12,3,,John Krenicki,Wisconsin,2022-01-25T08:00:00Z,7875000000.0,8500,"To provide safe, reliable, and affordable energy solutions for our customers",Milwaukee,John Krenicki (CEO); Kevin Fletcher (CFO),Sustainability; Innovation; Customer-centricity,Renewable energy; Smart grid technology,Exploring new energy storage solutions,Wind farm expansion; Grid modernization,Energy efficiency; Customer satisfaction; Community engagement,Stable regulatory environment; Growing demand for clean energy,Government policies; Technological advancements,Scholarship programs; Research grants
Baird,BIRD,Empowering Success,9.69897,,0.15,0.05,3,0.2,John Smith,Milwaukee,2022-10-15T08:00:00Z,5000000000.0,10000,To provide exceptional financial services and advice to clients and be a great place to work for our associates.,123 Main Street,John Smith (CEO); Jane Doe (CFO),Integrity; Excellence; Teamwork,Innovation; Customer Experience,Exploring new investment opportunities in emerging markets.,Sustainability Initiative; Digital Transformation,Wealth Management; Investment Banking,Stable economic conditions; Growing client base,Market trends; Regulatory environment,Scholarship programs; Research grants
MGIC Investment Corporation,MTG,Leading provider of private mortgage insurance,9.0,8.5,0.15,0.2,3,0.5,Jane Smith,Wisconsin,2022-01-15T10:00:00Z,1000000000.0,2000,To help more people achieve the dream of homeownership,Milwaukee,Jane Smith (CEO); John Doe (CFO),Integrity; Innovation; Customer Focus,Market Research; Product Development,Innovative mortgage insurance solutions,Digital Transformation; Risk Management,Risk Mitigation; Customer Experience,Stable housing market; Regulatory compliance,Interest rates; Housing market trends,Scholarship programs; Research grants
Marcus Corporation,,,9.0,,,,,,,Milwaukee,2022-01-01T00:00:00Z,1000000000.0,5000,To provide exceptional entertainment experiences for our guests.,123 Main Street,John Smith (CEO); Jane Doe (CFO),Innovation; Customer satisfaction; Employee development,Market research; Product development,,Digital transformation; Sustainability initiatives,Hospitality; Entertainment; Real estate,Stable market conditions; Strong consumer demand,Economic trends; Regulatory environment,Scholarship programs; Research grants
Badger Meter,BMI,Measuring What Matters,8.60206,,,,,,Kenneth C. Bockhorst,,2022-01-10T08:00:00Z,400000000.0,1800,To provide innovative flow measurement and control solutions to optimize customer measurement performance.,{'city': 'Milwaukee'},Kenneth C. Bockhorst (President and CEO); Richard E. Johnson (CFO),Innovation; Quality; Customer Satisfaction,Research and Development; Market Analysis,Continuous improvement in flow measurement technology,Smart Water Metering; Industrial Flow Measurement Solutions,Water Management; Industrial Automation,Stable market demand; Competitive pricing strategy,Technological advancements; Regulatory compliance,STEM Education Programs; Scholarship Funds
Rexnord Corporation,RXN,Powering Progress,9.30103,,0.15,0.05,3,,Bob Smith,Wisconsin,2022-01-15T08:00:00Z,2000000000.0,8000,To provide innovative solutions that enhance the efficiency and sustainability of our customers' operations.,Milwaukee,Bob Smith (CEO); Jane Doe (CFO),Innovation; Quality; Customer Satisfaction,Research & Development; Market Analysis,Exploring new product lines and strategic partnerships,Supply Chain Optimization; Digital Transformation,Sustainability; Efficiency; Customer Experience,Stable market conditions; Continued technological advancements,Global economic trends; Regulatory environment,Scholarship programs; Research grants
Briggs & Stratton,BGG,Powering Your World,9.255273,,0.12,0.08,5,,John Smith,,2022-01-15T08:00:00Z,1800000000.0,6000,To provide power solutions that improve the quality of life for people around the world.,{'city': 'Milwaukee'},John Smith (CEO); Emily Johnson (CFO),Innovation; Quality; Sustainability,Research & Development; Market Analysis,Exploring new power solutions for renewable energy sources,Electric Lawn Mowers; Solar Power Generators,Green Technology; Energy Efficiency,Growing demand for eco-friendly power solutions; Increasing focus on sustainability,Government regulations on emissions; Market trends in renewable energy,Scholarship programs; Research grants
A. O. Smith Corporation,AOS,Innovation has a name,9.477121,,,,,,Kevin J. Wheeler,,2022-01-01T00:00:00Z,3000000000.0,16000,To be a leading global water technology company,{'city': 'Milwaukee'},Kevin J. Wheeler (Chairman and CEO); Charles T. Lauber (CFO),Innovation; Quality; Sustainability,Research; Development; Innovation,Continuous improvement in water technology,Water Heater Efficiency; Water Purification Systems,Water Technology; Innovation; Sustainability,Growing demand for water technology solutions; Competitive market landscape,Regulatory approvals; Market trends,Scholarship programs; Research grants
Quad/Graphics,QUAD,The power of print,9.60206,,0.12,,3,,Joel Quadracci,Wisconsin,2022-01-15T08:00:00Z,4000000000.0,20000,To be the preferred partner for businesses looking to connect with their customers through print and marketing solutions,Sussex,Joel Quadracci (CEO); Dave Honan (CFO),Innovation; Quality; Customer satisfaction,Research; Development; Market analysis,Continuous improvement in printing technology,Sustainability initiatives; Efficiency optimization,Print solutions; Marketing services; Logistics,Stable market demand; Competitive pricing strategy,Raw material suppliers; Technological advancements,Scholarship programs; Research grants
Direct Supply,DS,Empowering better care,9.0,,0.15,,3,,John Smith,Wisconsin,2022-01-15T08:00:00Z,1000000000.0,5000,To enhance the lives of America's seniors through innovative solutions,Milwaukee,John Smith (CEO); Jane Doe (CFO),Quality; Innovation; Customer-centric,Research; Development; Testing,Continuous improvement and innovation,Senior living solutions; Healthcare technology,Senior care; Healthcare technology; Innovation,Growing aging population; Increasing demand for senior care services,Regulatory approvals; Market trends,Scholarship programs; Research grants
Milwaukee Electric Tool Corporation,METC,Nothing but heavy duty,9.0,,0.15,0.2,3,0.5,John Smith,Milwaukee,2022-01-01T00:00:00Z,1000000000.0,5000,Providing innovative solutions for professional users,123 Main Street,John Smith (CEO); Jane Doe (CFO),Quality; Innovation; Reliability,Research; Development; Testing,Continuous improvement of existing products,New product line launch; Supply chain optimization,Power tools; Accessories; Hand tools,Stable market demand; Competitive pricing,Raw material suppliers; Distribution partners,Scholarship programs; Research grants
Charter Manufacturing,CHMFG,Innovative Solutions for Manufacturing Excellence,9.69897,,0.15,,3,,John Smith,,2022-10-15T08:00:00Z,5000000000.0,10000,To be the leading provider of high-quality manufacturing solutions globally.,{'city': 'Milwaukee'},John Smith (CEO); Emily Johnson (CFO),Innovation; Quality; Customer Satisfaction,Research & Development; Product Innovation,Continuous improvement in manufacturing processes,Lean Manufacturing; Six Sigma Implementation,Quality Control; Supply Chain Management; Cost Optimization,Stable market demand; Competitive pricing strategy,Raw material suppliers; Logistics partners,Scholarship programs; Research grants
Master Lock Company,MLC,Securing everything worth protecting,8.69897,,0.15,0.1,3,,John Smith,,2022-10-15T08:00:00Z,500000000.0,1000,To provide peace of mind through innovative security solutions,{'city': 'Milwaukee'},John Smith (CEO); Emily Johnson (CFO),Security; Innovation; Quality,Research; Product Development,Exploring new biometric security solutions,Smart Lock Technology; Access Control Systems,Home Security; Commercial Security,Growing demand for security solutions; Competitive market landscape,Technological advancements; Economic conditions,Scholarship programs; Research grants
Zurn Elkay Water Solutions,ZEWS,Innovative Water Solutions for a Sustainable Future,9.69897,10.5,0.15,0.08,3,0.5,John Smith,Chicago,2022-10-15T08:00:00Z,5000000000.0,10000,To provide cutting-edge water solutions that promote sustainability and efficiency.,123 Water Way,John Smith (CEO); Jane Doe (CFO),Sustainability; Innovation; Efficiency,Research; Development; Innovation,Exploring new water purification technologies,Smart Water Management System; Water Recycling Plant,Water Conservation; Sustainable Solutions; Efficiency,Growing demand for water solutions; Increasing focus on sustainability,Government regulations; Technological advancements,Water Research Institute; Sustainability Program
Milwaukee Valve,MV,Quality valves for industrial applications,7.7,,0.15,0.05,3,,John Smith,Milwaukee,2022-01-15T08:00:00Z,50000000.0,300,To provide reliable and high-quality valves for industrial use,Milwaukee,John Smith (CEO); Jane Doe (CFO),Quality; Reliability; Innovation,Research; Development; Testing,Continuous improvement of valve designs,Efficiency optimization; Quality control enhancement,Industrial valves; Quality control; Innovation,Stable market demand; Competitive pricing strategy,Raw material suppliers; Manufacturing partners,Scholarship programs; Research grants
